name,description,link,purchase,subscription,platform,symbols,artboards,responsive,prototyping,animation,collaboration,Use-cases
Axure RP,Design the right solution,http://www.axure.com,$495/$895,$29/$49,"Mac, PC",Yes,,Yes,Yes,Yes,Yes,"Wireframes, Diagrams, Prototypes"
Sketch,Professional digital design for Mac,http://www.sketchapp.com,$99 per year,,Mac,Yes,Yes,Yes,,,,Design
Adobe Illustrator,,,,,,,,,,,,
Adobe Experience Design,,,,,,,,,,,,
Affinity Designer,,,,,,,,,,,,
Adobe InDesign,,,,,,,,,,,,
Adobe Photoshop,,,,,,,,,,,,
Marvel,,,,,,,,,,,,
InVision,,,,,,,,,,,,
Balsamiq ,,,,,,,,,,,,
UXPin,Collaborative UX Design for Product Teams,https://www.uxpin.com,,,,,,,,,,
Zeplin,Build pixel perfect apps in peace,https://zeplin.io,,,,,,,,,,
What Users Do,,,,,,,,,,,,
Optimal Workshop,,,,,,,,,,,,
UserTesting,,,,,,,,,,,,
Marketch,,,,,,,,,,,,
Avocode,,,,,,,,,,,,
Framer,,,,,,,,,,,,
Lucidchart,,,,,,,,,,,,
Principle,,,,,,,,,,,,
HotGloo,,,,,,,,,,,,
Fuse,,,,,,,,,,,,
Craft,,,,,,,,,,,,
Atomic,,,,,,,,,,,,
Figma,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
